# Avida deme replication data
# Sat Feb 18 01:08:21 2017
#  1: Update [update]
#  2: Number of deme replications [numrepl]
#  3: Mean deme gestation time [gesttime]
#  4: Mean number of births within replicated demes [numbirths]
#  5: Mean heritable merit of replicated demes [merit]
#  6: Mean generation of replicated demes [generation]
#  7: Mean density of replicated demes [density]

53900 58 251.241 242.155 1 198.241 1 
54000 108 244.269 226.287 1 196.361 1 
54100 84 267.357 268.095 1 198.655 1 
54200 102 249.373 237.941 1 198.608 1 
54300 87 253.609 245.655 1 199.092 1 
54400 77 275.039 279.013 1 199.649 1 
54500 118 248.941 234.864 1 199.542 1 
54600 53 254.642 248.736 1 201.604 1 
54700 126 250.008 235.365 1 200.135 1 
54800 70 256.157 245.4 1 201.514 1 
54900 102 242.578 218.471 1 201.931 1 
55000 82 270.146 267.439 1 202.073 1 
55100 109 242.596 224.991 1 202.67 0.999266 
55200 76 265.579 254.421 1 202.711 1 
55300 72 246.847 236.639 1 204.208 1 
55400 117 256.632 241.59 1 203.795 1 
55500 55 276.655 278.218 1 205.745 1 
55600 122 254.615 231.689 1 204.393 1 
55700 60 276.183 272.067 1 205.95 1 
55800 109 249.991 235.917 1 205.578 1 
55900 77 250.805 234.974 1 207.026 1 
56000 81 242.284 225.346 1 206.296 1 
56100 104 271.894 267.529 1 206.99 0.999231 
56200 77 254.792 240.649 1 208.273 0.99013 
56300 111 252.973 239.459 1 207.856 1 
56400 62 253.339 250.887 1 209.532 1 
56500 114 250.956 231.711 1 208.412 0.999298 
56600 68 266.809 253.691 1 209.309 0.988824 
56700 97 254.062 239.608 1 210.186 1 
56800 89 248.202 231.022 1 209.18 0.999101 
56900 83 241.88 224.386 1 211.325 1 
57000 116 258.853 240.328 1 210.198 0.997931 
57100 86 246.349 232.628 1 211.849 1 
57200 102 256.176 238.49 1 211.265 0.995294 
57300 91 260.78 253.176 1 212.901 0.999121 
